wv_nm,T_227
292.95,25.977395367
292.96,25.931177401
292.97,25.8843537815
292.98,25.8370296875
292.99,25.789230405
293,25.7410211665
293.01,25.6924941045
293.02,25.643701405
293.03,25.5947368145
293.04,25.5456679865
293.05,25.4965870535
293.06,25.447563283
293.07,25.3986912285
293.08,25.350053204
293.09,25.301718477
293.1,25.253783215
293.11,25.2062905925
293.12,25.1593514375
293.13,25.112995071
293.14,25.067278521
293.15,25.0222857155
293.16,24.978032929
293.17,24.9345225825
293.18,24.8918247505
293.19,24.84991334
293.2,24.808789965
293.21,24.7684546255
293.22,24.728840475
293.23,24.689932853
293.24,24.6516494455
293.25,24.613947078
293.26,24.5767157295
293.27,24.539869858
293.28,24.503312489
293.29,24.466917327
293.3,24.4305849765
293.31,24.394189949
293.32,24.357604335
293.33,24.32070426
293.34,24.2833887145
293.35,24.2455199705
293.36,24.207040193
293.37,24.1678238935
293.38,24.127789565
293.39,24.0869070795
293.4,24.045095737
293.41,24.002341684
293.42,23.958659581
293.43,23.914051849
293.44,23.8685070555
293.45,23.8221368355
293.46,23.7749582705
293.47,23.7270846095
293.48,23.6786013945
293.49,23.6296226815
293.5,23.580247059
293.51,23.53061629
293.52,23.48085667
293.53,23.4310936875
293.54,23.381455252
293.55,23.3320790915
293.56,23.2830637945
293.57,23.2345063355
293.58,23.1865436355
293.59,23.139218062
293.6,23.0926510685
293.61,23.046842655
293.62,23.0018996145
293.63,22.957820333
293.64,22.9146292895
293.65,22.8723648165
293.66,22.8310098325
293.67,22.790574156
293.68,22.751054559
293.69,22.7124201065
293.7,22.674707517
293.71,22.637872809
293.72,22.6019404615
293.73,22.566893393
293.74,22.532769936
293.75,22.4995945695
293.76,22.4673664865
293.77,22.4361525335
293.78,22.4059779965
293.79,22.376912143
293.8,22.349007966
293.81,22.322307833
293.82,22.296920958
293.83,22.272848955
293.84,22.250174138
293.85,22.228926635
293.86,22.209161053
293.87,22.19088062
293.88,22.174086143
